id,target,fold
0000799a2b2c42d,0,1
00042890562ff68,0,1
0005364cdcb8e5b,0,4
0007a5a46901c56,0,3
0009283e145448e,0,0
00096524e6670d6,0,1
000cd479c2106d4,0,0
000e869ed875e40,0,1
00104dc954c2d30,0,3
0010ad3ece01536,0,2
00118f68d95f846,0,3
0012dcc6bd1691a,0,0
0012ef703e41ef0,0,3
00139e3001fac17,0,0
0014d4e495190df,0,4
00154729d2fd371,0,1
0015567a64de3a3,0,3
0016fd6c09d476d,0,2
0017643c1c5c254,0,1
0017bc2681a3ba6,0,1
0017ce67af00325,0,3
0018883e0f370a9,0,3
0019cce46bdd032,0,3
001e0e14b128d31,0,4
001eff9ba20c1d4,0,3
001f88b77b9b373,0,3
0021fc57e231440,0,0
00225000069d6f0,0,0
0024012d1431fbc,1,4
0024132600c5680,0,4
00252071b43ad31,0,1
002525edb98067d,0,4
0025ab4f029480a,0,2
0026497453caaaf,0,0
00266da7e04f9d6,0,1
00267e268138d7f,0,3
0028a35de92941d,1,0
0028f630e587e03,0,4
002a1020194f55e,0,0
002a11be93c166f,0,2
002abe7c294afe2,0,0
002cb9721fe2fea,0,3
002e189192771a6,0,1
002e8af7d5322d9,0,4
002efdabe4e3e45,1,4
002f2f64b95fc23,0,1
002f57e5f0343a1,0,0
002f5f225ea7280,0,2
00301235fed8125,0,3
003067b1680f13e,0,3
0031e823c133be2,1,0
0033c295a8599d4,0,1
003459dcbe3a917,0,2
0034a012aed2072,0,1
0034a245eb13e2a,0,2
0034b32a87dec86,0,1
0035861daddbae4,0,3
0037afbf377acde,0,0
00392bf2465357b,0,4
003bd7df6a36acc,0,4
003cd80eb518fae,0,2
00412077d1aef6f,1,4
00414bbe99cd962,0,4
00415f8dc1d7b40,0,3
0041864cb6498c8,0,4
004224504f5d316,0,4
0044e4104dffb33,0,3
0046556255d1ab3,0,1
004664572ae4f65,0,1
00479070e3c60bc,0,3
0047dc6999e58b5,0,3
004933b94083be2,1,1
004b59ff05909f6,0,2
004e7ddde0b9fb8,0,2
0050720884e991b,0,0
0051c0a646f07f0,0,2
0053a0b40b9982e,0,2
0055a8408ed567a,0,1
0055e9458a0f03a,1,2
005931cc0972f70,0,4
005c08af8fbfb73,0,1
005c4172dd55bac,0,1
005cd4a938193be,0,0
0063ce264190ca8,0,0
006420786a6a249,0,0
0064246c6f69f58,0,0
0065a606e3a1e1d,0,1
0065bc7ba9b1a42,0,1
006624514ab053a,0,0
00671a874ba117b,0,4
006bafab0a02dbd,0,2
006e00dbaf6382b,0,1
006eabb05ea74d2,0,1
0072d14ef742c63,0,2
0073317b276d787,0,0
0074c8fcf1b3798,0,1
0074d1d02a64f47,0,1
00771b23c034c52,0,1
00776881dd80050,1,3
0078b1a3c77ece7,0,1
0078b411777c2a5,0,2
0079d432db9553c,0,1
007c0af5dc9718e,0,1
007c970001c4819,0,4
007df4ae3944433,0,4
007e1495455be52,0,1
007ed99f0ba1352,0,3
007ee7e0c375cc9,0,1
007f43a395e44d1,0,3
0080e5e1ef92b4c,1,2
0081194f794932a,0,3
00817ce4958706a,0,2
00832ae23481641,0,0
008651b2062966f,0,0
008682591923741,0,2
00873e59537a758,0,0
0087939108e357e,0,0
0088364213f2af6,0,1
008881813508f71,0,2
0089589db226274,0,3
008a04696dfdeb9,0,2
008a387ae3a2a87,0,4
008ac2c4d38685a,0,2
008ddfd3167c07e,0,2
008eb601300b642,1,3
008f365b1ae48d8,0,3
008f81049aa3e37,0,3
00918aa4663217b,0,0
0091b822d0e3c46,0,3
0092363e44fbcf7,0,3
00935e62155cf5e,0,0
0094823eee93115,0,1
0095b95cabc9c7e,0,0
009720abc6c9db7,1,3
00973367d6481e2,1,2
0097ec9a99008e9,1,3
0098949a983353d,0,0
009ca6f1c78d12d,0,4
00a1d9ce5045cd5,0,2
00a1fbc9e9986d6,0,3
00a274a75c325eb,0,4
00a36e409f77a59,0,2
00a3b4346d21596,0,4
00a46039bc10863,0,4
00a5964c0184cc6,0,1
00a655f3c0a1fdd,0,4
00a6bfa199d3e64,0,4
00a9539b1459b8d,0,2
00aa4163967e034,0,4
00aa686659da0ac,0,2
00ab20bd8614bee,0,1
00ab6835aa346b7,0,3
00ac14c1e95bb86,0,4
00ad54730fcc006,0,4
00adf47fdc1758b,0,3
00adfb542ef609e,0,0
00ae3f85c0c9067,0,4
00ae7046d1295cd,0,3
00ae9e22dbce54e,0,0
00aeb04e1b603d3,0,3
00af4c7465c0f9d,0,4
00afa5ed6d90512,0,4
00b04e04b9a5e29,0,3
00b10900fd5d02b,0,4
00b12f02129d993,0,3
00b2a4425260a05,1,0
00b331c067fef76,0,2
00b3a71aac30e1d,0,2
00b41110b55eb86,0,0
00b4347b13585b3,1,3
00b6cd0e326e888,0,4
00b750c10bbbce9,0,3
00ba3927c172348,0,0
00bae909d5b092e,0,4
00bfb74a8648ab3,0,0
00c04bff2a60225,1,3
00c053554051273,0,3
00c1babb57c475a,0,1
00c2b6846cf5697,0,4
00c4f2d95834ad7,0,0
00c5e44af68e8fb,0,1
00c758666a98294,0,3
00c8f01147c7cc4,1,4
00c926e676b9945,0,3
00cbbf220a59a71,0,1
00cc5b2c98e0e46,0,3
00ccf87d333d446,0,1
00cd7bb383df25e,0,1
00d04af19f678c3,0,4
00d0f7ff639e133,0,4
00d1555f27f27e8,0,0
00d26d738293e57,0,3
00d46a21075c9af,0,4
00d58f2c8892e22,0,3
00d5e47e877579b,0,4
00d80238102b3f9,1,2
00d83cfcf60c9fa,0,4
00d83dca1236cf5,0,2
00d8ff65c53d347,0,1
00da6a9db5f0000,0,4
00dae6e3bc076c6,0,2
00db6f5d5db1ff4,0,0
00dc7a22b4d1fec,0,0
00de011d829a137,0,3
00de4ca5f62307f,0,0
00df498ae66a514,1,0
00e0849e12be8ad,0,3
00e1a00acb24e0a,0,1
00e1a1a7b2362e5,0,4
00e2328b4037c84,0,3
00e7adf4931e5e9,0,2
00ea905b5a2cdde,0,0
00ebc9e445a25e3,0,3
00ecc26705c3817,0,0
00edbbb84f23f34,1,1
00eddf9dc21d918,0,4
00f0edf821fa96c,1,0
00f129775fd7792,1,1
00f22ffe6461f3a,0,0
00f26df3f203ca9,1,0
00f3018308ffc9e,0,4
00f34ad7cb99ea4,0,3
00f3d4d2e6d30d5,0,2
00f5613da0cfcd6,1,2
00f62c3534bc521,0,4
00f65c24af93091,0,3
00f730c3f0a13cb,0,1
00f9d8e6223936c,0,1
00fb29a95bfa2c4,0,4
00fc0a330ba4b94,0,1
00fdf3d210b72e7,0,0
00fe2a3167f9f7e,0,3
00fe3051ee8eebd,0,2
00ffccd75595515,1,2
0100d7d7ab669de,0,2
0104d3396987d44,0,1
0105e5c5edefc5b,0,3
0106647388c2547,0,4
01069888f1d29d1,1,2
010771e0b6039af,0,2
010787bf22658ab,0,0
0108c99f889ed4d,0,2
010918101480d16,0,1
010b4f7aec8012e,0,1
010b8dc237f2d74,1,4
010b95655a85cb7,0,2
010f8af2ec6329a,0,4
01127be6786bed6,0,1
011282237c63ef8,0,3
01129ae1043f08a,0,2
0115a930212db7b,0,3
01182c768b47146,0,1
0119ce5f44d224e,0,1
011a24036ff34fa,1,2
011b28e735d732d,1,4
011b4e333472665,0,0
011b884b0c2069b,0,0
011d82908e7f580,0,3
011de8983af4bce,0,1
011fac16e77a2bf,0,2
0121de00d511470,0,2
0124d4811c8c5c1,0,4
012660c1204ce0d,0,3
0128021d0d9d7cb,1,2
012836faefd4984,0,4
012992d35104702,0,0
012a6c71db65ad7,0,2
012a6dd6fcc54eb,0,0
012ba69226522f6,0,3
012c9204ba46e58,0,3
012cf4a9be975e2,0,2
012ddefdcb758ab,0,2
012deb8689f13bf,0,2
012df03e54ec919,0,3
012ea7cb991222a,0,3
01314d93be826f5,0,4
0134dbd399f050e,0,3
01350394b22c2fd,0,1
0135beb4df1a9fa,0,2
01377ef21adcc5c,0,1
01383f5c6d40db6,0,1
01384c85f729592,0,4
0138596db839da9,0,2
013b41f768c152f,0,2
013b73604f03e9c,0,0
013c3979e205371,0,2
013d6ea70a9deaa,0,2
013daabd5510cc9,0,1
013de6c7dcc559b,0,1
